,0
824,APECO1_RS25595
825,APECO1_RS12845
826,APECO1_RS22645
827,APECO1_RS03620
828,APECO1_RS06620
829,APECO1_RS09475
830,APECO1_RS06410
831,APECO1_RS21375
832,APECO1_RS13515
833,APECO1_RS10950
834,APECO1_RS22000
835,APECO1_RS00580
836,APECO1_RS20860
837,APECO1_RS18915
838,APECO1_RS02580
839,APECO1_RS19320
840,APECO1_RS07185
841,APECO1_RS06485
842,APECO1_RS22400
843,APECO1_RS20695
844,APECO1_RS00265
845,APECO1_RS12490
846,APECO1_RS19230
847,APECO1_RS12305
848,APECO1_RS04090
849,APECO1_RS12295
850,APECO1_RS01615
851,APECO1_RS12315
852,APECO1_RS12300
853,APECO1_RS05140
854,APECO1_RS20635
855,APECO1_RS01895
856,APECO1_RS12310
857,APECO1_RS01625
858,APECO1_RS06505
859,APECO1_RS22570
860,ykgF
861,APECO1_RS20790
862,APECO1_RS08130
863,APECO1_RS12580
864,APECO1_RS06490
865,APECO1_RS06500
866,APECO1_RS19475
867,APECO1_RS01825
868,APECO1_RS13925
869,APECO1_RS25560
870,APECO1_RS06495
871,APECO1_RS08125
872,APECO1_RS11930
873,APECO1_RS14430
874,APECO1_RS07335
875,APECO1_RS25215
876,APECO1_RS19355
877,APECO1_RS22005
878,APECO1_RS12735
879,APECO1_RS03420
880,APECO1_RS14380
881,APECO1_RS20015
882,APECO1_RS09135
883,APECO1_RS15615
884,APECO1_RS23640
885,APECO1_RS08775
886,APECO1_RS02440
887,APECO1_RS24210
888,APECO1_RS01950
889,APECO1_RS15875
890,APECO1_RS22835
891,APECO1_RS25625
892,APECO1_RS04995
893,APECO1_RS12130
894,APECO1_RS15780
895,APECO1_RS13915
896,APECO1_RS01820
897,APECO1_RS11265
898,APECO1_RS07815
899,APECO1_RS13855
900,APECO1_RS16735
901,APECO1_RS09425
902,APECO1_RS11935
903,APECO1_RS14455
904,APECO1_RS23155
905,APECO1_RS11255
906,APECO1_RS00860
907,APECO1_RS03120
908,APECO1_RS19315
909,APECO1_RS19785
910,APECO1_RS19310
911,APECO1_RS01025
912,APECO1_RS08860
913,APECO1_RS06395
914,APECO1_RS23305
915,APECO1_RS03025
916,APECO1_RS23295
917,APECO1_RS23300
918,APECO1_RS04650
919,APECO1_RS25575
920,psd
921,APECO1_RS23290
922,APECO1_RS03060
923,wbbJ
924,APECO1_RS14580
925,APECO1_RS25585
926,APECO1_RS14615
927,APECO1_RS03050
928,APECO1_RS00960
929,pta
930,APECO1_RS04415
931,APECO1_RS02545
932,APECO1_RS18055
933,APECO1_RS21770
934,APECO1_RS13755
935,APECO1_RS00980
936,coaD
937,APECO1_RS24695
938,APECO1_RS18385
939,APECO1_RS03360
940,APECO1_RS12065
941,APECO1_RS17875
942,APECO1_RS22270
943,APECO1_RS05680
944,APECO1_RS04645
945,APECO1_RS03185
946,APECO1_RS22295
947,APECO1_RS05665
948,APECO1_RS20595
949,APECO1_RS07105
950,APECO1_RS03760
951,APECO1_RS04155
952,APECO1_RS16490
953,dmlA
954,APECO1_RS07995
955,APECO1_RS17270
956,APECO1_RS04165
957,APECO1_RS08005
958,APECO1_RS12840
959,APECO1_RS21965
960,APECO1_RS22880
961,APECO1_RS21935
962,APECO1_RS04170
963,APECO1_RS08700
964,APECO1_RS04160
965,APECO1_RS08010
966,APECO1_RS16795
967,APECO1_RS11370
968,APECO1_RS20805
969,APECO1_RS13380
970,APECO1_RS08000
971,APECO1_RS05675
972,APECO1_RS08660
973,APECO1_RS05130
974,APECO1_RS24880
975,APECO1_RS01965
976,APECO1_RS05670
977,APECO1_RS01795
978,puuP
979,APECO1_RS00725
980,APECO1_RS07090
981,APECO1_RS01785
982,APECO1_RS13555
983,APECO1_RS01790
984,APECO1_RS08785
985,APECO1_RS00475
986,APECO1_RS05510
987,APECO1_RS15670
988,APECO1_RS14305
989,APECO1_RS08210
990,APECO1_RS21775
991,APECO1_RS00805
992,APECO1_RS00635
993,APECO1_RS19435
994,APECO1_RS00630
995,APECO1_RS09000
996,APECO1_RS09935
997,APECO1_RS00460
998,APECO1_RS08795
999,APECO1_RS03085
1000,APECO1_RS00300
1001,APECO1_RS21885
1002,APECO1_RS03070
1003,APECO1_RS05120
